section,pattern,n,nops,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,seed,mean_base_seed,median_base_seed,mean_eval_id,median_eval_id,mean_jli_avg_us,median_jli_avg_us,mean_jli_ci_hi_us,median_jli_ci_hi_us,mean_jli_ci_lo_us,median_jli_ci_lo_us,mean_jli_dissolve_rate,median_jli_dissolve_rate,mean_jli_effective_cost,median_jli_effective_cost,mean_jli_efficiency,median_jli_efficiency,mean_jli_global_rebuild,median_jli_global_rebuild,mean_jli_jitter_us,median_jli_jitter_us,mean_jli_local_rebuild,median_jli_local_rebuild,mean_jli_local_scan,median_jli_local_scan,mean_jli_max_us,median_jli_max_us,mean_jli_mem_bytes,median_jli_mem_bytes,mean_jli_min_us,median_jli_min_us,mean_jli_p50_us,median_jli_p50_us,mean_jli_p95_us,median_jli_p95_us,mean_jli_p99_us,median_jli_p99_us,mean_jli_rebuild_node_touches,median_jli_rebuild_node_touches,mean_jli_rebuild_rate,median_jli_rebuild_rate,mean_jli_stddev_us,median_jli_stddev_us,mean_jli_steps_avg,median_jli_steps_avg,mean_jli_steps_p99,median_jli_steps_p99,mean_jli_sub_rebuild,median_jli_sub_rebuild,mean_jli_sub_scan,median_jli_sub_scan,mean_label,median_label,mean_mem_ratio,median_mem_ratio,mean_param_set,median_param_set,mean_ratio,median_ratio,mean_repetition,median_repetition,mean_repetitions_count,median_repetitions_count,mean_sl_avg_us,median_sl_avg_us,mean_sl_ci_hi_us,median_sl_ci_hi_us,mean_sl_ci_lo_us,median_sl_ci_lo_us,mean_sl_jitter_us,median_sl_jitter_us,mean_sl_max_us,median_sl_max_us,mean_sl_mem_bytes,median_sl_mem_bytes,mean_sl_min_us,median_sl_min_us,mean_sl_p50_us,median_sl_p50_us,mean_sl_p95_us,median_sl_p95_us,mean_sl_p99_us,median_sl_p99_us,mean_sl_stddev_us,median_sl_stddev_us,mean_win_rate,median_win_rate,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p
BUILD,sorted,1000000,1000000,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,41883.707334,41050.83,42814.237832,41613.61624,40953.176836,40438.842165,0.0,0.0,1042872630000.0,1022144000000.0,9.6068773e-13,9.7834525e-13,0.0,0.0,7372.9423,3156.6305,0.0,0.0,0.0,0.0,49734.39,44821.600000000006,24899253.6,24899168.0,38386.270000000004,38183.15,41427.755,40864.75,46181.175,43778.3825,48800.6973,44550.21799999999,0.0,0.0,0.0,0.0,2492.286283,1379.2737149999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-11-0.50,128-4-11-0.50,0.7780944,0.7780555,0.0,0.0,0.46577326320337525,0.4632595,0.0,0.0,30.0,30.0,89919.47766599999,88519.408335,91579.68992799999,89401.842825,88259.265403,87542.846685,13391.9356,7796.3385,104656.84,96625.95,32000293.6,32001932.0,83944.06,83902.3,88967.71,88271.525,96079.353,92138.9,102359.6456,95514.7135,4446.629371999999,2667.43135,1.0,1.0,0.4591994737238914,0.4723470526828591,0.001953125,0.001953125
BUILD,sorted,100000,100000,128,4,8,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,4394.037334000001,4338.556665,4593.265761,4498.757855,4194.808904,4178.35548,0.0,0.0,10950296600.0,10811815000.0,9.1796232e-11,9.2502315e-11,0.0,0.0,1603.624,1232.3265000000001,0.0,0.0,0.0,0.0,6088.58,5657.55,2492078.4,2492072.0,3724.69,3734.6499999999996,4274.3,4278.15,5251.9435,5020.27,5877.924,5510.476500000001,0.0,0.0,0.0,0.0,533.603442,429.074835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-8-0.50,128-4-8-0.50,0.7785158,0.77817,0.0,0.0,0.46561612517880413,0.4582695,0.0,0.0,30.0,30.0,9428.074001,9460.793335,9704.418068,9596.89199,9151.729931,9285.03424,1974.0266000000001,1590.884,11422.57,10694.15,3201068.0,3202468.0,8329.92,8311.55,9265.275,9368.775,10678.722,10319.3275,11239.3016,10650.0265,740.146112,640.755935,1.0,1.0,0.456457491992758,0.4747747583648503,0.001953125,0.001953125
BUILD,sorted,10000,10000,128,4,5,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,361.317335,353.44667000000004,377.814818,374.56383,344.819849,332.32950500000004,0.0,0.0,90286840.0,88316060.0,1.1158584499999999e-08,1.1326755e-08,0.0,0.0,159.3884,159.664,0.0,0.0,0.0,0.0,534.06,520.05,249880.8,249872.0,318.62,312.0,348.995,334.525,432.695,431.58,508.3834,494.236,0.0,0.0,0.0,0.0,44.186035,45.560545000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-5-0.50,128-4-5-0.50,0.7800065,0.780262,0.0,0.0,0.44643401654888526,0.434283,0.0,0.0,30.0,30.0,809.409667,774.94,825.25177,790.219665,793.567564,759.6603399999999,127.476,117.096,941.4300000000001,923.55,320358.4,320236.0,752.94,724.95,800.15,769.175,883.2955,844.2574999999999,927.626,898.323,42.430699000000004,39.129625000000004,1.0,1.0,0.43627492377197086,0.45659310932579966,0.001953125,0.001953125
BUILD,sorted,250000,250000,128,4,9,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,10517.632666,10527.145,10757.683782,10750.32035,10277.581552,10285.09908,0.0,0.0,65475350000.0,65532445000.0,1.5276701e-11,1.525962e-11,0.0,0.0,1525.4571,1297.1005,0.0,0.0,0.0,0.0,12087.130000000001,11805.45,6225294.4,6225260.0,9443.34,9437.05,10427.545,10371.849999999999,11557.462,11561.002499999999,11953.0021,11772.317500000001,0.0,0.0,0.0,0.0,642.940885,618.218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-9-0.50,128-4-9-0.50,0.7784027,0.778303,0.0,0.0,0.4675572946280708,0.4648085,0.0,0.0,30.0,30.0,22495.763333000003,22435.866665,22891.713716,22798.325395,22099.812952,22073.407939999997,2572.8897,2494.4055,25205.79,24925.0,7997528.8,7998572.0,20682.29,20690.85,22420.455,22433.975,24329.561999999998,24213.9575,24993.3447,24776.6905,1060.493673,1073.4614550000001,1.0,1.0,0.4622986894385416,0.47281589981759997,0.001953125,0.001953125
BUILD,sorted,500000,500000,128,4,10,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,26272.395334,26567.638335000003,27496.462129,27536.679035,25048.328537,25598.597629999997,0.0,0.0,327090550000.0,330761150000.0,3.1004165e-12,3.0233675e-12,0.0,0.0,9766.39,6837.65,0.0,0.0,0.0,0.0,36848.27,33909.05,12449973.6,12449996.0,21935.94,22485.4,25643.190000000002,26269.1,31533.75,29694.947500000002,35409.58,33233.35,0.0,0.0,0.0,0.0,3278.479199,2555.3437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-10-0.50,128-4-10-0.50,0.7782315,0.7781305000000001,0.0,0.0,0.4508527892965562,0.440961,0.0,0.0,30.0,30.0,58272.441334,60020.399999999994,60405.480820000004,61804.508405,56139.401846,58236.291595,15110.7649,10053.0855,74323.59,71703.05,15997780.0,16000284.0,49764.73,52194.350000000006,57992.595,59801.2,68158.4,66688.32,73103.3599,70337.45850000001,5713.026127,4327.724695,1.0,1.0,0.4412313728980991,0.4604742056950133,0.001953125,0.001953125
BUILD,sorted,50000,50000,128,4,7,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,1985.838001,1954.31,2071.835413,2019.68433,1899.840589,1882.927705,0.0,0.0,2474858800.0,2435617000.0,4.0479304e-10,4.1059255e-10,0.0,0.0,714.1055,728.375,0.0,0.0,0.0,0.0,2758.45,2710.0,1246254.4,1246272.0,1730.19,1748.45,1938.335,1924.775,2361.3145,2363.725,2652.4405,2616.367,0.0,0.0,0.0,0.0,230.331158,217.185365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-7-0.50,128-4-7-0.50,0.7783679,0.7786025000000001,0.0,0.0,0.4579525562501128,0.451222,0.0,0.0,30.0,30.0,4334.882001,4316.115,4439.44143,4422.5006300000005,4230.32257,4209.72937,782.3857,730.4870000000001,5127.58,4958.549999999999,1601116.0,1600704.0,3956.1,3931.0,4269.3099999999995,4238.6,4823.322,4777.505,5051.6957,4920.371499999999,280.046742,278.965345,1.0,1.0,0.45022952038308267,0.4656755921171429,0.001953125,0.001953125
BUILD,sorted,750000,750000,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42,47.5,47.5,1.0,1.0,30802.863001,30881.038335,31230.077901,31295.8829,30375.648099,30413.135414999997,0.0,0.0,575733260000.0,577203700000.0,1.7372799e-12,1.7324915e-12,0.0,0.0,2540.9977,2271.443,0.0,0.0,0.0,0.0,33512.09,33590.25,18690900.8,18690872.0,28729.56,28742.050000000003,30714.915,30725.85,32518.8075,32573.445,33255.9127,33457.975999999995,0.0,0.0,0.0,0.0,1144.230997,1106.97284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128-4-11-0.50,128-4-11-0.50,0.7787723,0.778742,0.0,0.0,0.4677044116305761,0.4666265,0.0,0.0,30.0,30.0,65860.011333,65984.85167,66520.25249299999,66634.93594,65199.770173,65205.230540000004,3802.5473,3098.8105,69974.86,69438.2,24000472.0,24001432.0,62432.05,62499.95,65854.145,66136.07500000001,68508.9595,68623.8375,69656.6923,69330.10250000001,1768.356857,1726.349445,1.0,1.0,0.46356512431497016,0.471843698946182,0.001953125,0.001953125
DELETE,adversarial,100000,28571,512,16,4,0.500000,700,1200,0.204892,0.257791,0.583721,0.236260,0.171230,0.500198,6,0.783564,0.085223,20,52,47.5,47.5,1.0,1.0,0.100442,0.09799,0.103436,0.10002,0.097445,0.09578500000000001,0.00196,0.00196,175163.69,170886.6,5.7226651e-06,5.851842e-06,0.0,0.0,0.018917,0.01409,420.0,420.0,1110.0,1110.0,0.119043,0.112865,1743938.4,1743932.0,0.089083,0.08857499999999999,0.098931,0.09748000000000001,0.114238,0.109345,0.117847,0.11157,170190.0,170190.0,0.000805,0.000805,0.008026,0.006404999999999999,22.6,22.6,40.937,40.93,270.0,270.0,690.0,690.0,nan,nan,0.7625347,0.7623445,0.0,0.0,1.166922602234021,1.171242,0.0,0.0,30.0,30.0,0.086062,0.08390500000000001,0.089146,0.086675,0.082978,0.08151,0.022915,0.01818,0.109574,0.107985,2287034.4,2287632.0,0.074622,0.07467,0.084643,0.08335999999999999,0.10120799999999999,0.09828,0.107559,0.10554,0.008259,0.00765,0.026666600000000002,0.033333,1.1562845183379902,1.1775606861300516,0.001953125,0.001953125
DELETE,adversarial,1000000,285714,1024,32,6,0.500000,1500,2400,0.232048,0.243378,0.449926,0.329084,0.140933,0.545234,2,0.914254,0.067509,24,52,47.5,47.5,1.0,1.0,0.120698,0.120655,0.12252299999999999,0.122725,0.11887400000000001,0.1187,0.000977,0.000977,2097290.0,2096587.0,4.7683423e-07,4.7696575e-07,0.0,0.0,0.013699,0.01057,1740.0,1740.0,5010.0,5010.0,0.135844,0.13087500000000002,17376299.2,17376312.0,0.113791,0.11343,0.119941,0.12001,0.127515,0.12728,0.133641,0.13039499999999998,1696380.0,1696380.0,0.000431,0.000431,0.004887,0.004645,25.608,25.61,45.036,45.03,1950.0,1950.0,3540.0,3540.0,nan,nan,0.7602347,0.760178,0.0,0.0,1.334669309674778,1.3352015000000002,0.0,0.0,30.0,30.0,0.090437,0.09051999999999999,0.09203,0.09222,0.088845,0.08896,0.010418,0.011065,0.10094500000000001,0.10055,22856493.6,22858204.0,0.082823,0.082855,0.089715,0.08946,0.097596,0.09736500000000001,0.10013,0.10006999999999999,0.004267,0.004325,0.0,0.0,1.3246056340956844,1.3447329852538714,0.001953125,0.001953125
DELETE,adversarial,250000,71428,512,32,5,0.500000,900,2000,0.244665,0.336941,0.497476,0.313290,0.149095,0.579623,2,0.795997,0.035064,24,52,47.5,47.5,1.0,1.0,0.114635,0.114155,0.117413,0.11687,0.111855,0.111655,0.00196,0.00196,504691.02,502578.35,1.9819639e-06,1.9898135000000003e-06,0.0,0.0,0.022062000000000002,0.01777,810.0,810.0,2280.0,2280.0,0.13773,0.13263,4402613.6,4402616.0,0.104688,0.104795,0.113236,0.113115,0.127585,0.12651,0.1353,0.130945,322800.0,322800.0,0.000616,0.000616,0.007441,0.00713,17.549,17.56,28.457,28.47,510.0,510.0,1050.0,1050.0,nan,nan,0.7705958,0.770389,0.0,0.0,1.2940159652304968,1.2938375,0.0,0.0,30.0,30.0,0.088588,0.088535,0.090612,0.09047,0.086562,0.08657000000000001,0.015743,0.01483,0.105785,0.105465,5713265.6,5714804.0,0.080902,0.08147499999999999,0.087784,0.087705,0.09710099999999999,0.09607,0.103527,0.10314999999999999,0.005424,0.00522,0.0033333,0.0,1.281698677094937,1.3063332533660565,0.001953125,0.001953125
