section,pattern,n,nops,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,seed,mean_base_seed,median_base_seed,mean_eval_id,median_eval_id,mean_jli_avg_us,median_jli_avg_us,mean_jli_ci_hi_us,median_jli_ci_hi_us,mean_jli_ci_lo_us,median_jli_ci_lo_us,mean_jli_dissolve_rate,median_jli_dissolve_rate,mean_jli_effective_cost,median_jli_effective_cost,mean_jli_efficiency,median_jli_efficiency,mean_jli_global_rebuild,median_jli_global_rebuild,mean_jli_jitter_us,median_jli_jitter_us,mean_jli_local_rebuild,median_jli_local_rebuild,mean_jli_local_scan,median_jli_local_scan,mean_jli_max_us,median_jli_max_us,mean_jli_mem_bytes,median_jli_mem_bytes,mean_jli_min_us,median_jli_min_us,mean_jli_p50_us,median_jli_p50_us,mean_jli_p95_us,median_jli_p95_us,mean_jli_p99_us,median_jli_p99_us,mean_jli_rebuild_node_touches,median_jli_rebuild_node_touches,mean_jli_rebuild_rate,median_jli_rebuild_rate,mean_jli_stddev_us,median_jli_stddev_us,mean_jli_steps_avg,median_jli_steps_avg,mean_jli_steps_p99,median_jli_steps_p99,mean_jli_sub_rebuild,median_jli_sub_rebuild,mean_jli_sub_scan,median_jli_sub_scan,mean_label,median_label,mean_mem_ratio,median_mem_ratio,mean_param_set,median_param_set,mean_ratio,median_ratio,mean_repetition,median_repetition,mean_repetitions_count,median_repetitions_count,mean_sl_avg_us,median_sl_avg_us,mean_sl_ci_hi_us,median_sl_ci_hi_us,mean_sl_ci_lo_us,median_sl_ci_lo_us,mean_sl_jitter_us,median_sl_jitter_us,mean_sl_max_us,median_sl_max_us,mean_sl_mem_bytes,median_sl_mem_bytes,mean_sl_min_us,median_sl_min_us,mean_sl_p50_us,median_sl_p50_us,mean_sl_p95_us,median_sl_p95_us,mean_sl_p99_us,median_sl_p99_us,mean_sl_stddev_us,median_sl_stddev_us,mean_win_rate,median_win_rate,ratio_ci_low,ratio_ci_high,wilcoxon_p,sign_p
STATIC,adversarial,1000000,285714,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,42,47.5,47.5,1.0,1.0,0.020957,0.020775000000000002,0.023384,0.022995,0.018533,0.01858,0.0,0.0,503435.55,499108.5,2.0344395e-06,2.0056205e-06,0.0,0.0,0.023208,0.01747,0.0,0.0,0.0,0.0,0.046130000000000004,0.03974,24020864.0,24020864.0,0.015337,0.015345,0.019218,0.01888,0.03123,0.03011,0.042422,0.038415000000000005,0.0,0.0,0.0,0.0,0.0065,0.00543,2.7,3.0,2.7,3.0,0.0,0.0,0.0,0.0,16384-32-2-0.50,16384-32-2-0.50,0.7507604,0.750751,0.0,0.0,0.4551817282955257,0.4206835,0.0,0.0,30.0,30.0,0.04866,0.04504,0.053658,0.050655,0.043664,0.040355,0.046912,0.04407,0.09869700000000001,0.08501,31995390.4,31995792.0,0.037083,0.0352,0.045033,0.041645,0.070739,0.06381,0.091943,0.08286,0.013386,0.012325000000000001,0.9766667,1.0,0.35594260290591656,0.5544208536851349,0.001953125,0.001953125
STATIC,adversarial,100000,28571,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,42,47.5,47.5,1.0,1.0,0.013468,0.012740000000000001,0.015398,0.01586,0.01154,0.009905,0.0,0.0,32368.794,30616.59,3.3167925e-05,3.267375e-05,0.0,0.0,0.016896,0.01193,0.0,0.0,0.0,0.0,0.031323000000000004,0.026799999999999997,2403216.0,2403216.0,0.008414,0.00791,0.012076,0.00978,0.02204,0.020635,0.028971,0.0259,0.0,0.0,0.0,0.0,0.005169,0.0036950000000000004,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16384-32-1-0.50,16384-32-1-0.50,0.7512492,0.7515235,0.0,0.0,0.3183651225542829,0.29523900000000003,0.0,0.0,30.0,30.0,0.043072,0.03994,0.047261,0.042825,0.038881,0.03662,0.037238,0.01796,0.081884,0.056935,3198965.6,3197792.0,0.031489,0.02984,0.040508,0.038145,0.062161,0.048375,0.077745,0.056005,0.011221,0.0063549999999999995,0.9933334,1.0,0.2804476816122695,0.3562825634962963,0.001953125,0.001953125
STATIC,adversarial,250000,71428,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,42,47.5,47.5,1.0,1.0,0.014367,0.01414,0.016566,0.015765,0.012167,0.01244,0.0,0.0,86292.938,84929.78,1.2049487e-05,1.1786275000000001e-05,0.0,0.0,0.016811,0.010255,0.0,0.0,0.0,0.0,0.032476,0.02262,6006024.0,6006024.0,0.008003,0.00795,0.012908,0.01261,0.022273,0.01922,0.029719,0.02153,0.0,0.0,0.0,0.0,0.005894,0.004475,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16384-32-1-0.50,16384-32-1-0.50,0.7509349,0.751075,0.0,0.0,0.30115319629473025,0.280167,0.0,0.0,30.0,30.0,0.047595,0.04691,0.052614,0.050945,0.042573,0.04233,0.038498,0.02514,0.08779,0.078335,7998068.8,7996572.0,0.032046,0.03227,0.044973,0.04588,0.069189,0.06085,0.08347,0.07367499999999999,0.013445,0.01082,0.9966667,1.0,0.2696092110630397,0.3326971815264208,0.001953125,0.001953125
STATIC,adversarial,500000,142857,16384,32,1,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,42,47.5,47.5,1.0,1.0,0.016685,0.01642,0.018551,0.01812,0.01482,0.01457,0.0,0.0,200402.64,197218.45,5.1031847e-06,5.0706925e-06,0.0,0.0,0.015089,0.01519,0.0,0.0,0.0,0.0,0.032232000000000004,0.0329,12010936.0,12010936.0,0.010994,0.010655,0.015472,0.014835000000000001,0.025485,0.025544999999999998,0.030560999999999998,0.03099,0.0,0.0,0.0,0.0,0.0050030000000000005,0.0051,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,16384-32-1-0.50,16384-32-1-0.50,0.7508708,0.7509064999999999,0.0,0.0,0.3770566012730771,0.3543545,0.0,0.0,30.0,30.0,0.044833,0.044274999999999995,0.048935,0.0484,0.040734,0.04024,0.03501,0.035955,0.079518,0.08145,15996012.0,15995252.0,0.032793,0.033165,0.041325,0.0421,0.065324,0.06174,0.076336,0.078055,0.010979,0.010925,1.0,1.0,0.3311640641531581,0.42294913839299614,0.001953125,0.001953125
STATIC,adversarial,50000,14285,16384,32,1,0.500000,526,852,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,42,47.5,47.5,1.0,1.0,0.012876,0.012379999999999999,0.015447,0.015075,0.010305,0.008889999999999999,0.0,0.0,15481.288,14882.55,6.689068e-05,6.729892e-05,0.0,0.0,0.025557999999999997,0.02198,0.0,0.0,0.0,0.0,0.040887,0.03565,1202280.0,1202280.0,0.008146,0.00802,0.0108,0.009535,0.022624,0.02393,0.03636,0.031695,0.0,0.0,0.0,0.0,0.006882,0.006025,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16384-32-1-0.50,16384-32-1-0.50,0.751437,0.7516095,0.0,0.0,0.3620859257123656,0.30743,0.0,0.0,30.0,30.0,0.036313,0.033925,0.03894,0.036175,0.03369,0.03168,0.021041,0.019200000000000002,0.058223,0.05451,1599977.6,1599608.0,0.028379,0.02811,0.034743,0.03251,0.048508,0.04335,0.055782,0.052435,0.007034,0.00594,0.9866668000000001,1.0,0.3257332365064046,0.39843861491832655,0.001953125,0.001953125
STATIC,hotspot,1000000,285714,256,32,9,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,12,42,47.5,47.5,1.0,1.0,0.987598,0.99929,1.103547,1.11644,0.871648,0.87954,0.0,0.0,24987627.0,25283625.0,4.0173418e-08,3.9551805e-08,0.0,0.0,0.517434,0.49492,0.0,0.0,0.0,0.0,1.617785,1.5710600000000001,25301448.8,25301384.0,0.483329,0.479815,1.043229,1.062095,1.391745,1.387335,1.560661,1.541655,0.0,0.0,0.0,0.0,0.310555,0.32081,16.68,16.575,25.2,24.0,0.0,0.0,0.0,0.0,256-32-9-0.50,256-32-9-0.50,0.7907843,0.790769,0.0,0.0,1.0093093973928846,1.0137,0.0,0.0,30.0,30.0,0.979493,0.99402,1.093283,1.105435,0.865705,0.87371,0.512797,0.532805,1.5645120000000001,1.5205250000000001,31995390.4,31995792.0,0.503142,0.48878,1.02136,1.0464799999999999,1.420725,1.439175,1.534157,1.5007100000000002,0.304764,0.302675,0.4900001,0.48333349999999997,0.9808461085577557,1.0377726862280137,0.431640625,0.34375
STATIC,hotspot,100000,28571,256,32,5,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,16,42,47.5,47.5,1.0,1.0,0.21573,0.2139,0.232679,0.22636,0.19877899999999998,0.19785,0.0,0.0,546005.57,541364.55,1.8368297e-06,1.8471845e-06,0.0,0.0,0.172984,0.09194,0.0,0.0,0.0,0.0,0.402633,0.296565,2530968.0,2530964.0,0.186009,0.18575,0.201224,0.200915,0.287473,0.25377,0.374211,0.29235,0.0,0.0,0.0,0.0,0.0454,0.027725,13.34,13.14,18.8,18.5,0.0,0.0,0.0,0.0,256-32-5-0.50,256-32-5-0.50,0.7911846,0.7914675,0.0,0.0,0.9014487617268155,0.905062,0.0,0.0,30.0,30.0,0.239435,0.236165,0.260727,0.24959,0.21814,0.21891,0.227789,0.13916,0.500586,0.393065,3198965.6,3197792.0,0.206462,0.205765,0.222559,0.222615,0.305935,0.28267,0.45034799999999997,0.36490999999999996,0.057029,0.03596,0.8366667,0.85,0.8751919927997445,0.9277055306538866,0.001953125,0.001953125
STATIC,hotspot,250000,71428,256,32,8,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,6,42,47.5,47.5,1.0,1.0,0.347573,0.34704999999999997,0.374463,0.37017,0.320679,0.324405,0.0,0.0,2199799.2,2196468.5,4.5635098999999997e-07,4.5530935e-07,0.0,0.0,0.225918,0.163735,0.0,0.0,0.0,0.0,0.579192,0.512705,6329067.2,6329052.0,0.279315,0.27641,0.32559899999999997,0.330255,0.470424,0.45482500000000003,0.551516,0.4984,0.0,0.0,0.0,0.0,0.072029,0.059075,16.617,15.57,23.5,22.5,0.0,0.0,0.0,0.0,256-32-8-0.50,256-32-8-0.50,0.7913250000000001,0.7914684999999999,0.0,0.0,0.9695046045527624,0.9796210000000001,0.0,0.0,30.0,30.0,0.359025,0.36432,0.389465,0.39719,0.328586,0.32852000000000003,0.257909,0.23508,0.613347,0.5956049999999999,7998068.8,7996572.0,0.282298,0.283125,0.32955,0.32567999999999997,0.50217,0.47746500000000003,0.587458,0.58294,0.08153,0.083255,0.5933334,0.6000000000000001,0.9310718504273149,1.0079373586782099,0.130859375,0.75390625
STATIC,hotspot,500000,142857,256,32,8,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,12,42,47.5,47.5,1.0,1.0,0.622573,0.6057699999999999,0.706655,0.693045,0.538493,0.5184949999999999,0.0,0.0,7876177.6,7663574.5,1.30928783e-07,1.307192e-07,0.0,0.0,0.492165,0.490105,0.0,0.0,0.0,0.0,1.0378180000000001,1.0567600000000001,12650993.6,12650960.0,0.382978,0.37844500000000003,0.53509,0.487585,0.983669,1.000415,1.027255,1.05331,0.0,0.0,0.0,0.0,0.225198,0.23843,16.101,15.985,23.6,23.0,0.0,0.0,0.0,0.0,256-32-8-0.50,256-32-8-0.50,0.7908845,0.7909200000000001,0.0,0.0,0.9374251534987479,0.950337,0.0,0.0,30.0,30.0,0.666024,0.6402399999999999,0.754817,0.7462599999999999,0.577229,0.537155,0.509182,0.522985,1.107609,1.1305450000000001,15996012.0,15995252.0,0.390824,0.380525,0.578796,0.50385,1.031616,1.062665,1.087978,1.12324,0.237822,0.25470000000000004,0.6733332,0.65,0.9121780714436848,0.962672235553811,0.001953125,0.001953125
STATIC,hotspot,50000,14285,256,32,5,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,10,42,47.5,47.5,1.0,1.0,0.18913,0.18517,0.206239,0.19923000000000002,0.172022,0.167,0.0,0.0,239480.34,234460.90000000002,4.207577e-06,4.2660605e-06,0.0,0.0,0.15275,0.09418499999999999,0.0,0.0,0.0,0.0,0.333445,0.27168499999999995,1266216.8,1266220.0,0.150705,0.1521,0.172443,0.16598000000000002,0.287557,0.24020000000000002,0.325194,0.256315,0.0,0.0,0.0,0.0,0.045822,0.028714999999999997,13.557,13.555,18.8,19.0,0.0,0.0,0.0,0.0,256-32-5-0.50,256-32-5-0.50,0.7913981,0.791559,0.0,0.0,0.9098906782517739,0.9234245,0.0,0.0,30.0,30.0,0.208283,0.209325,0.227545,0.22325,0.189023,0.188575,0.177948,0.101825,0.377591,0.309135,1599977.6,1599608.0,0.162568,0.16218,0.18889,0.18351499999999998,0.318029,0.26541499999999996,0.36683699999999997,0.29805499999999996,0.051586,0.032735,0.8000001,0.85,0.8794916798991621,0.9402896766043858,0.001953125,0.001953125
