run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
1,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,40921.27667,38066.90000,45368.90000,40944.85000,44300.00000,45145.31000,1792.28810,4200.46000,40252.10044,41590.45290,90039.47333,85050.90000,103686.70000,88491.10000,95630.51000,101496.33000,3713.77945,13005.23000,88652.88100,91426.06566,0.462700,1.000000,24900016,32010848,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.018940e+12,9.814116e-13,0.777862,0,43,43,30,1
10,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,42945.37333,40182.50000,46140.80000,42865.10000,44955.15000,45902.79700,1384.10864,3037.69700,42428.59671,43462.14996,88561.52667,83483.40000,97483.00000,88546.95000,92200.12500,96097.06100,2730.49421,7550.11100,87542.05785,89580.99548,0.484095,1.000000,24899240,32003784,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.069307e+12,9.351850e-13,0.778009,0,52,52,30,1
2,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,40748.91667,38776.80000,43787.10000,40639.15000,42610.76500,43456.96400,1223.80894,2817.81400,40291.99021,41205.84312,88477.29000,85000.40000,92161.00000,88715.10000,91450.78000,91960.98700,1996.44248,3245.88700,87731.88983,89222.69017,0.458086,1.000000,24899096,32000408,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.014611e+12,9.855992e-13,0.778087,0,44,44,30,1
3,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,41180.38333,38211.80000,44274.30000,41347.05000,42881.78500,43955.12600,1222.38884,2608.07600,40723.98709,41636.77958,87058.69667,83445.40000,92992.20000,86562.50000,90319.13500,92260.29800,2330.78159,5697.79800,86188.46624,87928.92709,0.477655,1.000000,24898936,32003528,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.025348e+12,9.752789e-13,0.778006,0,45,45,30,1
4,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,39839.50000,37814.90000,43230.10000,39727.35000,42259.27500,43002.91400,1351.72697,3275.56400,39334.81353,40344.18647,87388.22333,83699.00000,93491.80000,87362.90000,91115.36500,93108.04300,2034.50223,5745.14300,86628.61301,88147.83365,0.454739,1.000000,24899768,31986136,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,9.919943e+11,1.008070e-12,0.778455,0,46,46,30,1
5,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,40543.06667,38396.00000,43500.60000,40623.60000,42787.39500,43296.23700,1333.47450,2672.63700,40045.19501,41040.93832,87063.87000,82191.20000,95768.90000,86889.80000,92077.67500,94932.36600,2604.36849,8042.56600,86091.49202,88036.24798,0.467530,1.000000,24899600,31992192,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.009506e+12,9.905834e-13,0.778302,0,47,47,30,1
6,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,40911.03333,37459.90000,43479.30000,40731.90000,43256.76500,43444.29700,1374.43879,2712.39700,40397.86708,41424.19958,87916.06333,84105.60000,93082.80000,87910.95000,91551.80500,92708.64200,2538.43069,4797.69200,86968.30416,88863.82250,0.463331,1.000000,24898576,31992600,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.018626e+12,9.817141e-13,0.778260,0,48,48,30,1
7,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,41394.56667,38154.50000,50379.90000,40784.65000,45335.77500,49190.69700,2450.01903,8406.04700,40479.81725,42309.31609,90194.34000,84331.40000,123536.60000,88051.95000,95546.50500,115553.50900,7099.51412,27501.55900,87543.63552,92845.04448,0.463188,1.000000,24899472,32003456,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.030703e+12,9.702117e-13,0.778024,0,49,49,30,1
8,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,44217.65667,39016.90000,61656.70000,42284.25000,56328.18000,60168.27500,5281.78086,17884.02500,42245.62873,46189.68461,93649.38000,85310.20000,113133.00000,93077.80000,104262.13500,111082.14900,6236.51276,18004.34900,91320.88934,95977.87066,0.454289,1.000000,24898984,32012504,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.100975e+12,9.082861e-13,0.777789,0,50,50,30,1
9,False,BUILD,sorted,1000000,1000000,0,128-4-11-0.50,128,4,11,0.500000,1000,2500,0.300000,0.250000,0.500000,0.300000,0.300000,0.250000,5,0.950000,0.080000,4,46135.30000,37782.50000,75526.20000,44329.65000,57096.66000,70444.35600,7508.82816,26114.70600,43331.77231,48938.82769,98845.91333,82823.10000,141232.40000,94068.05000,116639.49500,134397.07100,13181.46770,40329.02100,93924.42506,103767.40161,0.471251,1.000000,24898848,31997480,0.00,0.00,0.000000,0.000000,0,0,0,0,0,0,1.148716e+12,8.705373e-13,0.778150,0,51,51,30,1
