run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
1,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02144,0.01408,0.03081,0.02048,0.02976,0.03058,0.00448,0.01011,0.01977,0.02311,0.04089,0.02863,0.05672,0.04160,0.05212,0.05553,0.00732,0.01393,0.03816,0.04362,0.492230,1.000000,24020864,31996696,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,5.150574e+05,1.941531e-06,0.750730,0,43,43,30,1
10,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01605,0.01213,0.02371,0.01537,0.02059,0.02283,0.00283,0.00745,0.01500,0.01711,0.03991,0.03071,0.05227,0.04044,0.04856,0.05135,0.00580,0.01091,0.03775,0.04208,0.380106,1.000000,24020864,31978080,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,3.856131e+05,2.593273e-06,0.751167,0,52,52,30,1
2,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02281,0.01718,0.03397,0.02165,0.03358,0.03393,0.00465,0.01229,0.02107,0.02455,0.04541,0.03617,0.05836,0.04482,0.05659,0.05787,0.00650,0.01306,0.04299,0.04784,0.483036,1.000000,24020872,32008688,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,5.479408e+05,1.825015e-06,0.750449,0,44,44,30,1
3,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02564,0.01603,0.10283,0.02184,0.04131,0.08628,0.01612,0.06445,0.01963,0.03166,0.04885,0.03348,0.10730,0.04169,0.08643,0.10339,0.01754,0.06170,0.04230,0.05540,0.523750,0.966667,24020864,31993184,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,6.159925e+05,1.623397e-06,0.750812,0,45,45,30,1
4,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02287,0.01644,0.05614,0.01975,0.04172,0.05517,0.00902,0.03542,0.01950,0.02624,0.08418,0.06418,0.20545,0.07473,0.14397,0.18992,0.02961,0.11519,0.07312,0.09523,0.264269,1.000000,24020872,31989336,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,5.493557e+05,1.820314e-06,0.750902,0,46,46,30,1
5,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02612,0.01935,0.04458,0.02459,0.03785,0.04290,0.00596,0.01831,0.02389,0.02834,0.03381,0.02332,0.05949,0.03013,0.04918,0.05656,0.00858,0.02644,0.03061,0.03702,0.816145,0.833333,24020864,31986512,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,6.273661e+05,1.593966e-06,0.750969,0,47,47,30,1
6,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01741,0.01349,0.05183,0.01555,0.02494,0.04451,0.00713,0.02897,0.01475,0.02007,0.04437,0.03461,0.11817,0.03985,0.06640,0.10544,0.01607,0.06559,0.03837,0.05037,0.390068,1.000000,24020864,32003544,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,4.181743e+05,2.391347e-06,0.750569,0,48,48,30,1
7,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01859,0.01626,0.02817,0.01791,0.02238,0.02675,0.00249,0.00884,0.01766,0.01952,0.05036,0.04230,0.06272,0.04828,0.06122,0.06233,0.00550,0.01405,0.04831,0.05241,0.370914,1.000000,24020856,32001824,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,4.464841e+05,2.239721e-06,0.750609,0,49,49,30,1
8,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01853,0.01375,0.03490,0.01703,0.02971,0.03365,0.00490,0.01663,0.01671,0.02036,0.05415,0.04164,0.15268,0.04888,0.06823,0.12833,0.02016,0.07945,0.04662,0.06167,0.348384,1.000000,24020864,31994888,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,4.452119e+05,2.246121e-06,0.750772,0,50,50,30,1
9,False,STATIC,adversarial,1000000,285714,0,16384-32-2-0.50,16384,32,2,0.500000,1292,2092,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02011,0.01466,0.05436,0.01801,0.03046,0.04762,0.00742,0.02961,0.01735,0.02288,0.04467,0.03579,0.11381,0.03991,0.07469,0.10871,0.01678,0.06880,0.03841,0.05094,0.451299,0.966667,24020856,32001152,3.00,3.00,0.000000,0.000000,0,0,0,0,0,0,4.831596e+05,2.069710e-06,0.750625,0,51,51,30,1
1,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01651,0.00812,0.04651,0.01600,0.02136,0.03938,0.00681,0.02338,0.01396,0.01905,0.04083,0.02924,0.07904,0.03989,0.04691,0.06973,0.00859,0.02984,0.03763,0.04404,0.401114,0.966667,2403216,3196864,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,3.967425e+04,2.520527e-05,0.751742,0,43,43,30,1
10,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.02031,0.00851,0.04446,0.01832,0.04200,0.04377,0.01036,0.02545,0.01645,0.02418,0.07312,0.03353,0.28271,0.05720,0.17528,0.26399,0.05351,0.20678,0.05313,0.09310,0.320280,1.000000,2403216,3195112,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,4.881966e+04,2.048355e-05,0.752154,0,52,52,30,1
2,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01062,0.00732,0.01900,0.00923,0.01753,0.01875,0.00330,0.00953,0.00939,0.01185,0.03280,0.02614,0.04554,0.03130,0.04293,0.04484,0.00511,0.01354,0.03089,0.03471,0.294861,1.000000,2403216,3206392,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.551901e+04,3.918647e-05,0.749508,0,44,44,30,1
3,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01070,0.00778,0.02009,0.00949,0.01730,0.01947,0.00344,0.00998,0.00942,0.01198,0.02988,0.02407,0.04679,0.02762,0.04583,0.04672,0.00667,0.01910,0.02739,0.03237,0.343599,1.000000,2403216,3204768,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.571640e+04,3.888569e-05,0.749888,0,45,45,30,1
4,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.00911,0.00723,0.01893,0.00833,0.01394,0.01757,0.00248,0.00924,0.00819,0.01004,0.04079,0.03386,0.08953,0.03771,0.05836,0.08245,0.01104,0.04474,0.03667,0.04491,0.220799,1.000000,2403216,3198016,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.189623e+04,4.566996e-05,0.751471,0,46,46,30,1
5,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01720,0.01218,0.03177,0.01637,0.02450,0.03025,0.00395,0.01388,0.01572,0.01868,0.05817,0.04660,0.06862,0.05825,0.06501,0.06788,0.00464,0.00963,0.05643,0.05990,0.281027,1.000000,2403216,3197568,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,4.133634e+04,2.419179e-05,0.751576,0,47,47,30,1
6,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01298,0.00780,0.03561,0.01007,0.02814,0.03481,0.00695,0.02474,0.01039,0.01558,0.03909,0.03044,0.05717,0.03858,0.04984,0.05539,0.00676,0.01682,0.03657,0.04161,0.260945,1.000000,2403216,3203760,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,3.119641e+04,3.205497e-05,0.750124,0,48,48,30,1
7,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01250,0.00802,0.05963,0.00897,0.02212,0.04911,0.00976,0.04014,0.00886,0.01614,0.03309,0.02877,0.05191,0.03035,0.04227,0.04946,0.00549,0.01911,0.03104,0.03514,0.295617,0.966667,2403216,3195752,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,3.003677e+04,3.329253e-05,0.752003,0,49,49,30,1
8,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01577,0.01010,0.02183,0.01609,0.01991,0.02155,0.00233,0.00546,0.01490,0.01664,0.05119,0.03540,0.05670,0.05384,0.05613,0.05662,0.00604,0.00278,0.04893,0.05344,0.298963,1.000000,2403216,3193248,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,3.790842e+04,2.637937e-05,0.752593,0,50,50,30,1
9,False,STATIC,adversarial,100000,28571,0,16384-32-1-0.50,16384,32,1,0.500000,647,1048,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.00898,0.00708,0.01540,0.00789,0.01360,0.01505,0.00231,0.00716,0.00812,0.00984,0.03176,0.02684,0.04083,0.03034,0.03905,0.04037,0.00436,0.01004,0.03013,0.03339,0.260110,1.000000,2403216,3198176,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.158445e+04,4.632965e-05,0.751433,0,51,51,30,1
1,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01966,0.00769,0.10031,0.01688,0.03275,0.08073,0.01670,0.06385,0.01343,0.02590,0.05138,0.02734,0.13786,0.04494,0.08666,0.12595,0.02321,0.08100,0.04271,0.06004,0.375576,0.966667,6006024,8001816,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,1.181052e+05,8.467025e-06,0.750583,0,43,43,30,1
10,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01664,0.00893,0.02525,0.01672,0.02464,0.02512,0.00486,0.00839,0.01482,0.01845,0.05141,0.02945,0.14575,0.04631,0.09872,0.13743,0.02470,0.09113,0.04219,0.06064,0.361174,1.000000,6006024,7995464,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,9.992718e+04,1.000729e-05,0.751179,0,52,52,30,1
2,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01369,0.00867,0.03234,0.01181,0.01853,0.02838,0.00501,0.01657,0.01182,0.01556,0.04396,0.03750,0.05149,0.04402,0.04973,0.05099,0.00400,0.00697,0.04246,0.04545,0.268314,1.000000,6006024,8009080,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,8.223766e+04,1.215988e-05,0.749902,0,44,44,30,1
3,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01459,0.00821,0.02012,0.01497,0.01991,0.02011,0.00409,0.00514,0.01306,0.01611,0.04478,0.03240,0.05467,0.04636,0.05342,0.05436,0.00690,0.00800,0.04220,0.04736,0.322850,1.000000,6006024,8004168,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,8.762190e+04,1.141267e-05,0.750362,0,45,45,30,1
4,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01066,0.00711,0.01898,0.00881,0.01636,0.01823,0.00332,0.00942,0.00942,0.01190,0.04100,0.03214,0.05066,0.03969,0.04931,0.05033,0.00451,0.01064,0.03931,0.04268,0.222001,1.000000,6006024,7994424,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,6.403858e+04,1.561559e-05,0.751277,0,46,46,30,1
5,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01087,0.00714,0.02319,0.00989,0.01577,0.02113,0.00350,0.01124,0.00956,0.01217,0.05011,0.03402,0.07420,0.04959,0.07167,0.07364,0.01333,0.02405,0.04513,0.05509,0.199495,1.000000,6006024,7997680,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,6.527687e+04,1.531936e-05,0.750971,0,47,47,30,1
6,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01803,0.00872,0.04437,0.01341,0.03823,0.04421,0.01022,0.03081,0.01421,0.02184,0.06044,0.03327,0.12481,0.04777,0.11410,0.12315,0.02912,0.07538,0.04957,0.07131,0.280631,1.000000,6006024,8007120,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,1.082648e+05,9.236615e-06,0.750085,0,48,48,30,1
7,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01301,0.00716,0.02205,0.01084,0.02150,0.02193,0.00513,0.01109,0.01110,0.01493,0.04696,0.03158,0.08921,0.04545,0.06828,0.08349,0.01289,0.03804,0.04215,0.05177,0.238460,1.000000,6006024,7990416,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,7.815870e+04,1.279448e-05,0.751653,0,49,49,30,1
8,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01166,0.00749,0.01812,0.01066,0.01682,0.01776,0.00314,0.00710,0.01049,0.01283,0.03905,0.02930,0.06678,0.03811,0.04781,0.06165,0.00704,0.02354,0.03642,0.04168,0.279703,1.000000,6006024,7986088,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,7.002740e+04,1.428013e-05,0.752061,0,50,50,30,1
9,False,STATIC,adversarial,250000,71428,0,16384-32-1-0.50,16384,32,1,0.500000,852,1380,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01486,0.00891,0.02003,0.01509,0.01822,0.01959,0.00297,0.00450,0.01376,0.01597,0.04686,0.03346,0.08247,0.04749,0.05219,0.07371,0.00875,0.02623,0.04359,0.05012,0.317659,1.000000,6006024,7994432,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,8.927109e+04,1.120183e-05,0.751276,0,51,51,30,1
1,False,STATIC,adversarial,500000,142857,0,16384-32-1-0.50,16384,32,1,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01473,0.00984,0.03796,0.01350,0.02268,0.03354,0.00561,0.02004,0.01264,0.01682,0.05433,0.04038,0.10793,0.04927,0.07388,0.09835,0.01397,0.04908,0.04911,0.05955,0.274045,1.000000,12010936,15994752,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,1.769267e+05,5.652059e-06,0.750930,0,43,43,30,1
10,False,STATIC,adversarial,500000,142857,0,16384-32-1-0.50,16384,32,1,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01652,0.01064,0.02669,0.01534,0.02600,0.02663,0.00476,0.01129,0.01474,0.01829,0.04432,0.03231,0.08570,0.04264,0.05900,0.07898,0.01010,0.03634,0.04054,0.04809,0.359720,1.000000,12010936,15994544,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,1.983682e+05,5.041131e-06,0.750940,0,52,52,30,1
2,False,STATIC,adversarial,500000,142857,0,16384-32-1-0.50,16384,32,1,0.500000,1050,1700,0.212000,0.212000,0.462857,0.291429,0.199000,0.300000,4,0.869430,0.051000,20,0.01275,0.00998,0.01810,0.01213,0.01759,0.01796,0.00265,0.00582,0.01177,0.01374,0.04009,0.03526,0.05466,0.03913,0.04672,0.05275,0.00437,0.01362,0.03846,0.04173,0.310127,1.000000,12010936,16001336,2.00,2.00,0.000000,0.000000,0,0,0,0,0,0,1.531983e+05,6.527488e-06,0.750621,0,44,44,30,1
