run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
1,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.30314,0.27531,0.33375,0.30586,0.31829,0.32927,0.01339,0.02341,0.29814,0.30813,0.20744,0.18795,0.22997,0.20842,0.22645,0.22956,0.01147,0.02114,0.20316,0.21173,1.467524,0.000000,49867032,82015632,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.511645e+07,6.615310e-08,0.608019,0,43,43,30,1
1,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.40753,0.27124,0.47624,0.41752,0.44173,0.46667,0.04533,0.04914,0.39061,0.42446,0.27436,0.19874,0.31318,0.27593,0.30367,0.31102,0.02468,0.03509,0.26514,0.28357,1.513165,0.000000,49867032,65615624,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.032249e+07,4.920657e-08,0.759987,0,43,43,30,1
1,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,700,1000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.12561,0.09583,0.17141,0.11852,0.16340,0.16981,0.02697,0.05130,0.10632,0.14490,0.13829,0.10749,0.16451,0.13930,0.16437,0.16448,0.02594,0.02518,0.11973,0.15684,0.850788,0.900000,49267584,65574112,13.26,25.00,0.000000,0.000183,25720,20000,1200,2460,0,44056340,6.188539e+06,1.615890e-07,0.751327,0,43,43,10,1
10,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29595,0.26386,0.31998,0.29474,0.31537,0.31874,0.01306,0.02400,0.29108,0.30083,0.20675,0.18265,0.23258,0.20659,0.22788,0.23179,0.01241,0.02520,0.20212,0.21139,1.426704,0.000000,49866904,82020960,23.45,49.87,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.475824e+07,6.775874e-08,0.607978,0,52,52,30,1
10,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.38766,0.26543,0.47861,0.42613,0.45701,0.47304,0.07355,0.04690,0.36020,0.41512,0.26191,0.17822,0.31845,0.27665,0.31631,0.31800,0.04404,0.04135,0.24547,0.27835,1.540363,0.033333,49866904,65620952,23.45,49.87,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.933160e+07,5.172879e-08,0.759924,0,52,52,30,1
2,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29239,0.26915,0.32529,0.28995,0.32099,0.32527,0.01600,0.03532,0.28642,0.29837,0.20703,0.17105,0.23629,0.20953,0.22850,0.23428,0.01584,0.02475,0.20112,0.21295,1.383799,0.000000,49866920,82016672,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.458080e+07,6.858335e-08,0.608010,0,44,44,30,1
2,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.40594,0.27002,0.44986,0.41978,0.44494,0.44882,0.04710,0.02905,0.38836,0.42353,0.27347,0.18954,0.30921,0.27737,0.30194,0.30751,0.02699,0.03015,0.26340,0.28355,1.513437,0.033333,49866920,65616664,23.44,49.77,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.024322e+07,4.939926e-08,0.759973,0,44,44,30,1
2,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,700,1000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.12324,0.09447,0.16495,0.10086,0.16350,0.16466,0.03230,0.06380,0.10013,0.14634,0.12971,0.10382,0.16558,0.12654,0.16041,0.16455,0.02520,0.03801,0.11168,0.14773,0.797111,0.700000,49267584,65615248,13.26,25.00,0.000000,0.000183,25720,20000,1200,2460,0,44056340,6.071655e+06,1.646997e-07,0.750856,0,44,44,10,1
3,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.29043,0.25851,0.32933,0.29000,0.32251,0.32805,0.01763,0.03805,0.28385,0.29701,0.20764,0.18561,0.22485,0.20904,0.22215,0.22423,0.01078,0.01519,0.20362,0.21166,1.387293,0.000000,49866968,81995952,23.44,49.74,0.000000,0.001004,81420,30000,30240,30000,0,124339380,1.448293e+07,6.904679e-08,0.608164,0,45,45,30,1
3,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,700,2000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.40657,0.26548,0.46527,0.41651,0.44355,0.45918,0.04747,0.04267,0.38885,0.42429,0.27421,0.18726,0.31369,0.28227,0.29812,0.30923,0.02729,0.02696,0.26402,0.28440,1.475575,0.033333,49866968,65595944,23.44,49.74,0.000000,0.001004,81420,30000,30240,30000,0,124339380,2.027436e+07,4.932338e-08,0.760214,0,45,45,30,1
