run,discarded,section,pattern,n,nops,param_set,label,segment_size,shortcuts_per_junction,max_skip_level,level_probability,local_interval,sub_interval,t_j,soft_pct,hard_pct,flagged_ratio_limit,min_seg_len_pct,max_suboptimal_segments,min_suboptimal_events_before_global,emergency_hard_segment_ratio,stop_crash_local_sub,block_size,jli_avg_us,jli_min_us,jli_max_us,jli_p50_us,jli_p95_us,jli_p99_us,jli_stddev_us,jli_jitter_us,jli_ci_lo_us,jli_ci_hi_us,sl_avg_us,sl_min_us,sl_max_us,sl_p50_us,sl_p95_us,sl_p99_us,sl_stddev_us,sl_jitter_us,sl_ci_lo_us,sl_ci_hi_us,ratio,win_rate,jli_mem_bytes,sl_mem_bytes,jli_steps_avg,jli_steps_p99,jli_dissolve_rate,jli_rebuild_rate,jli_local_scan,jli_sub_scan,jli_local_rebuild,jli_sub_rebuild,jli_global_rebuild,jli_rebuild_node_touches,jli_effective_cost,jli_efficiency,mem_ratio,repetition,seed,base_seed,repetitions_count,eval_id
1,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.10924,0.09255,0.12960,0.10799,0.12508,0.12837,0.00962,0.02038,0.10564,0.11283,0.19900,0.18249,0.21344,0.19838,0.21112,0.21303,0.00904,0.01465,0.19562,0.20237,0.544361,1.000000,49216912,82015632,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,5.376271e+06,1.860025e-07,0.600092,0,43,43,30,1
1,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.17570,0.10433,0.21537,0.18306,0.20876,0.21361,0.02921,0.03056,0.16480,0.18661,0.28307,0.18967,0.33545,0.28939,0.32220,0.33208,0.03435,0.04270,0.27025,0.29590,0.632571,1.000000,49216912,65615624,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,8.647545e+06,1.156398e-07,0.750079,0,43,43,30,1
1,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05243,0.05066,0.05596,0.05192,0.05508,0.05578,0.00175,0.00386,0.05118,0.05369,0.10596,0.10212,0.11230,0.10540,0.11051,0.11194,0.00297,0.00655,0.10383,0.10809,0.492625,1.000000,49202672,65574112,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.579868e+06,3.876168e-07,0.750337,0,43,43,10,1
10,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.15566,0.10188,0.18185,0.16197,0.17646,0.18042,0.02161,0.01845,0.14759,0.16373,0.26881,0.18418,0.30341,0.27527,0.29793,0.30183,0.02806,0.02656,0.25834,0.27929,0.588411,1.000000,49216896,82020960,3.20,3.20,0.000000,0.000000,0,0,0,0,0,0,7.661082e+06,1.305299e-07,0.600053,0,52,52,30,1
10,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11329,0.08074,0.13154,0.11426,0.12745,0.13067,0.00997,0.01640,0.10956,0.11701,0.19595,0.17513,0.21556,0.19579,0.21128,0.21457,0.00954,0.01878,0.19238,0.19951,0.583610,1.000000,49216896,65620952,3.20,3.20,0.000000,0.000000,0,0,0,0,0,0,5.575685e+06,1.793502e-07,0.750018,0,52,52,30,1
2,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11381,0.09789,0.12875,0.11334,0.12802,0.12859,0.00901,0.01524,0.11045,0.11717,0.20181,0.17356,0.21948,0.20164,0.21739,0.21890,0.01051,0.01726,0.19788,0.20573,0.562098,1.000000,49216896,82016672,3.37,3.37,0.000000,0.000000,0,0,0,0,0,0,5.601283e+06,1.785305e-07,0.600084,0,44,44,30,1
2,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11571,0.09800,0.13883,0.11402,0.12869,0.13589,0.00940,0.02187,0.11220,0.11922,0.19490,0.16739,0.21070,0.19664,0.20977,0.21069,0.01081,0.01406,0.19086,0.19893,0.579822,1.000000,49216896,65616664,3.37,3.37,0.000000,0.000000,0,0,0,0,0,0,5.694833e+06,1.755978e-07,0.750067,0,44,44,30,1
2,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05323,0.05014,0.05963,0.05253,0.05793,0.05929,0.00273,0.00676,0.05127,0.05518,0.10499,0.09786,0.10761,0.10529,0.10732,0.10755,0.00280,0.00226,0.10299,0.10700,0.498925,1.000000,49202672,65615248,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.618817e+06,3.818519e-07,0.749866,0,44,44,10,1
3,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11197,0.09506,0.13219,0.11116,0.13127,0.13199,0.01094,0.02083,0.10788,0.11606,0.19715,0.17731,0.21454,0.19758,0.21011,0.21353,0.00945,0.01595,0.19363,0.20068,0.562604,1.000000,49216904,81995952,3.33,3.33,0.000000,0.000000,0,0,0,0,0,0,5.510822e+06,1.814611e-07,0.600236,0,45,45,30,1
3,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11398,0.09396,0.13459,0.11606,0.12655,0.13245,0.01026,0.01639,0.11015,0.11782,0.19272,0.16600,0.21089,0.19441,0.20982,0.21077,0.01128,0.01636,0.18851,0.19694,0.596996,1.000000,49216904,65595944,3.33,3.33,0.000000,0.000000,0,0,0,0,0,0,5.609967e+06,1.782542e-07,0.750304,0,45,45,30,1
3,False,INSERT,adversarial,50000,2000000,0,8192-24-1-0.50,8192,24,1,0.500000,2500000,2600000,0.318602,0.178539,0.459105,0.327735,0.143966,0.501797,5,0.864102,0.061065,8,0.05264,0.05021,0.05345,0.05298,0.05338,0.05344,0.00096,0.00046,0.05195,0.05333,0.10569,0.10192,0.10806,0.10695,0.10787,0.10802,0.00244,0.00107,0.10394,0.10743,0.495360,1.000000,49202672,65583648,1.00,1.00,0.000000,0.000000,0,0,0,0,0,0,2.590109e+06,3.860841e-07,0.750228,0,45,45,10,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.14712,0.10938,0.19274,0.14598,0.18429,0.19104,0.02530,0.04506,0.13767,0.15656,0.25232,0.19189,0.31506,0.26461,0.29799,0.31028,0.04171,0.04566,0.23675,0.26790,0.551673,1.000000,49216904,81992176,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,7.240606e+06,1.381100e-07,0.600263,0,46,46,30,1
4,False,INSERT,adversarial,50000,2000000,0,1024-32-3-0.50,1024,32,3,0.500000,2500000,2600000,0.320106,0.296353,0.452642,0.399400,0.217527,0.396621,2,0.756478,0.069413,10,0.11477,0.09793,0.14670,0.11485,0.12864,0.14174,0.01008,0.02689,0.11101,0.11854,0.19611,0.16908,0.21946,0.19669,0.21448,0.21836,0.01242,0.02166,0.19147,0.20075,0.583929,1.000000,49216904,65592168,3.40,3.40,0.000000,0.000000,0,0,0,0,0,0,5.648819e+06,1.770281e-07,0.750347,0,46,46,30,1
